alpha_two_code,Name,web_pages,state-province,domains,Address,logo,logo_flag,city
GH,Accra Polytechnic ,['http://www.accrapolytechnic.edu.gh/'],,,Ghana,https://i0.wp.com/schoolgh.com/wp-content/uploads/2017/05/Accra-Polytechnic.jpg?zoom=3&resize=150%2C150&ssl=1,FALSE,
GH,Cape Coast Polytechnic ,['http://www.cpoly.edu.gh/'],,,Ghana,https://africaschoolnews.com/wp-content/uploads/2020/02/Cape-Coast-Polytechnic.jpg,FALSE,
GH,Ho Polytechnic ,['http://www.hopoly.edu.gh/'],,,Ghana,http://storage.ning.com/topology/rest/1.0/file/get/2764107707?profile=original&crop=1:1,FALSE,
GH,Koforidua Polytechnic ,['http://www.koforiduapoly.edu.gh/'],,,Ghana,https://cdn.modernghana.com/content/600/360/ty50sferqm_koforidua_polytechnic.jpg,FALSE,
GH,Kumasi Polytechnic ,['http://www.kpoly.edu.gh/'],,,Ghana,https://www.deardegree.com/images/15528011445c8ddd78c493e.jpg,FALSE,
GH,Lancaster University Ghana,['http://www.lancaster.edu.gh/'],,,Ghana,http://www.ghanayello.com/img/gh/l/1429614078-94-lancaster-university-ghana.png,FALSE,
GH,Prempeh College,['http://www.prempeh-college.com/'],,,Ghana,https://i1.wp.com/beraportal.com/gh/wp-content/uploads/sites/4/2019/09/Prempeh-College.jpg?fit=573%2C573&ssl=1,FALSE,
GH,Regent University College of Science and Technology  ,['http://www.regentghana.net/'],,,Ghana,https://www.schoolsingh.com/pages/universities-in-ghana/regent-university-college-of-science-and-technology/regent-university-college-of-science-and-technology.png,FALSE,
GH,Takoradi Polytechnic ,['http://www.tpoly.edu.gh/'],,,Ghana,https://cdn.modernghana.com/content/300/360/xtakoradip20polytechnicp20p20logo.gif.pagespeed.ic.ncocgq3ncv.png,FALSE,
HK,Hong Kong Academy for Performing Arts ,['http://www.hkapa.edu/'],,,Hong Kong,https://www.hkapa.edu/assets/img/main-logo-1x.png,TRUE,
HU,Technical University of Budapest,['http://www.bme.hu/'],,,Hungary,https://www.bme.hu/sites/all/themes/foo/logo.png,TRUE,
HU,University of Debrecen ,['http://www.unideb.hu/'],,,Hungary,https://unideb.hu/themes/custom/unideb_gamma/logo.svg,TRUE,
ID,Abfi Institute Perbanas Jakarta,['http://www.perbanasinstitute.ac.id/'],,,Indonesia,http://4.bp.blogspot.com/_QIUSmprK7d8/SSwQ09pmGOI/AAAAAAAAADM/AGAwBYMaoxE/S712/big_logo.jpg,FALSE,
ID,Institut Teknologi Telkom,['http://www.stttelkom.ac.id/'],,,Indonesia,https://stttelkom.ac.id/wp-content/themes/bloggingpro/images/logo-small.png,TRUE,
ID,Stie Perbanas Surabaya,['http://www.perbanas.ac.id/'],,,Indonesia,http://www.perbanas.ac.id/img/logo.png,TRUE,
ID,Trisakti Institute of Tourism ,['http://www.stptrisakti.ac.id/'],,,Indonesia,http://stptrisakti.ac.id/wp-content/uploads/2016/02/logo-stp-trisakti-corporate-13-196x300.png,FALSE,
ID,Universitas Gajayana Malang,['http://www.unigamalang.ac.id/'],,,Indonesia,http://3.bp.blogspot.com/-A7cPF0HmCF8/TducMZpTpBI/AAAAAAAADqw/oJ7InbqcChk/s1600/Logo_Universitas_Gajayana_Malang.png,FALSE,Malang
ID,Universitas Islam Syekh-Yusuf ,['http://www.unistangerang.ac.id/'],,,Indonesia,https://4.bp.blogspot.com/-oQh23YAjWtM/WgYhbeVgz5I/AAAAAAAAAMY/wWeQj85hkKMzJqKJ9QqH9gOHmcCsywxcgCLcBGAs/s1600/IMG-20170831-WA0008.jpg,FALSE,
ID,"Universitas Pembangunan Nasional ""Veteran"" East Java",['http://www.upnjatim.ac.id/'],,,Indonesia,https://www.upnjatim.ac.id/wp-content/uploads/2019/12/logoupnbaru-300x294-min.png,TRUE,
IN,Asian Business School,['http://www.abs.edu.in/'],,,India,https://abs.edu.in/wp-content/uploads/2022/03/abs-oxford-aiu-nba-aicte-logo-web-2.jpg,TRUE,
IN,Burdwan University,['http://www.buruniv.ac.in/'],,,India,http://www.buruniv.ac.in/Images/bu_logo90.png,TRUE,
IN,Engineering Colleges in Tamil Nadu,['http://www.sonatech.ac.in/'],,,India,https://www.sonatech.ac.in/images/logo.png,TRUE,
