Name,Region,Address,Contact,Curriculum
Clarence High School,Karnataka,"Clarence High School,Bangalore, Richards Town, Bengaluru, Karnataka ","['080-46334633', '080-46334634']",ICSE
Clarence Public School,Karnataka,"Clarence Public School,#710 7th Main III Phase J. P. Nagar Bangalore, J.p. Nagar, Bengaluru, Karnataka ","['080-26584245', '080-26494420']",ICSE
Cluny Convent High School,Karnataka,"Cluny Convent High School,11th Main Road Bangalore, Malleswaram, Bengaluru, Karnataka - 560003 ",['080-23346536'],ICSE
St. Mary's Convent School,Karnataka,"St. Mary's Convent School,Begur-Koppa Road Hommadevanahalli Gottigere ( Post ), Bangalore, Bengaluru, Karnataka ",['080-25781059'],ICSE
V.E.S. Model Convent,Karnataka,"V.E.S. Model Convent,#63 Old Survey #195/196 Magadi Main Road Bangalore, Bangalore South Taluk, Bengaluru, Karnataka ","['080-28434407', '080-28430305']",ICSE
Green Country Public School,Karnataka,"Green Country Public School,#414 Survey #106/7 Bellary Road N. H. 7 Bangalore, Ambruthahalli, Bengaluru, Karnataka ","['080-23534259', '080-23432549']",ICSE
Daffodils English School,Karnataka,"Daffodils English School,Postal Colony Rajamahal Vilas II Stage Bangalore, Bengaluru, Karnataka ","['080-23418188', '080-32483095']",ICSE
Dayananda Sagar International School,Karnataka,"Dayananda Sagar International School,Sagar Hospital Road, Shavige Malleshwara Hills, Kumaraswamy Layout, Bengaluru, Karnataka - 560078 ",['www.dayanandasagar.edu/'],ICSE
St. Francis De Sales Public School,Karnataka,"St. Francis De Sales Public School,Hebbagodi Electronics City P. O., Bangalore, Bengaluru, Karnataka ","['080-27831451', '09481402204']",ICSE
Shanti Dhama English Higher Primary School,Karnataka,"Shanti Dhama English Higher Primary School,Sunkadakatte Magadi Main Road, Bangalore, Bengaluru, Karnataka ","['080-23484244', '080-23286867']",ICSE
Shree Dhanraj Phoolchand Hindi High School,Karnataka,"Shree Dhanraj Phoolchand Hindi High School,#2 Victoria Road, Bangalore, Bengaluru, Karnataka ",['080-25548780'],ICSE
Divine English School,Karnataka,"Divine English School,#640 1st Main Road Bangalore, Yeshwanthpura, Bengaluru, Karnataka ","['080-41273278', '080-23379188']",ICSE
St. Dominic's School,Karnataka,"St. Dominic's School,Chikkalasandra Subramanyapura Post, Bangalore, Bengaluru, Karnataka ",['080-26394233'],ICSE
